quilate;corte;color;claridad;profunidad;mesa;x;y;z;precio;tipo precio
1.28;Premium;E;VS1;60.8;60;7.03;6.98;4.26;12100;Alto
1.09;Very Good;I;SI1;61.4;58;6.61;6.69;4.08;4640;Bajo
0.32;Ideal;D;SI1;61.4;57;4.41;4.42;2.71;589;Minimo
0.32;Ideal;F;VS2;62.3;56;4.37;4.4;2.73;645;Minimo
1.59;Premium;J;VS2;62.6;59;7.45;7.43;4.66;7953;Medio
0.32;Ideal;G;SI1;61.3;56;4.39;4.42;2.7;477;Minimo
0.41;Ideal;D;VS1;61.2;57;4.77;4.81;2.93;1018;Minimo
0.51;Ideal;F;VS2;62.6;55;5.15;5.1;3.21;1875;Bajo
0.31;Ideal;G;VS2;62.4;55;4.3;4.32;2.69;544;Minimo
2.01;Premium;J;VS1;60.1;59;8.25;8.18;4.94;15185;Premiun
0.8;Very Good;F;SI2;61;57;6.01;6.03;3.67;2772;Bajo
0.52;Ideal;H;VS2;61.6;55;5.17;5.19;3.19;1374;Bajo
0.3;Good;E;VVS2;61.1;61;4.32;4.36;2.65;622;Minimo
1.25;Premium;J;VS2;62.2;59;6.86;6.88;4.27;5299;Bajo
0.51;Ideal;G;VS2;62;56;5.18;5.11;3.19;1443;Bajo
1.21;Very Good;G;VVS2;60.4;56;6.96;6.91;4.19;9878;Alto
1;Very Good;D;VVS2;59.9;61;6.42;6.5;3.87;9740;Alto
0.4;Ideal;E;VVS2;61.7;55;4.76;4.74;2.93;1238;Minimo
0.32;Ideal;D;VS2;61.5;56;4.41;4.44;2.72;758;Minimo
0.77;Premium;H;SI1;60.9;60;5.89;5.87;3.58;2457;Bajo
0.26;Ideal;E;VVS2;61.5;56;4.08;4.11;2.52;599;Minimo
0.42;Ideal;E;VS2;61.6;57;4.79;4.82;2.96;908;Minimo
0.34;Premium;F;VS1;60;59;4.59;4.55;2.74;905;Minimo
0.51;Ideal;D;VS1;61.7;54;5.12;5.15;3.17;1752;Bajo
1.04;Premium;F;VS1;59.4;60;6.58;6.56;3.9;7632;Medio
1.21;Very Good;I;SI1;62.1;56;6.76;6.92;4.25;5324;Bajo
0.33;Very Good;E;SI1;60.6;60;4.41;4.44;2.68;579;Minimo
0.26;Ideal;F;VS1;60.9;57;4.13;4.11;2.51;580;Minimo
0.71;Premium;D;SI2;62.8;57;5.69;5.64;3.56;2368;Bajo
0.35;Ideal;G;IF;61.3;56;4.51;4.53;2.77;910;Minimo
0.7;Very Good;E;VS1;61.1;55;5.72;5.77;3.51;3061;Bajo
0.52;Very Good;E;SI1;62.7;57;5.1;5.14;3.21;1389;Bajo
1.56;Ideal;J;SI2;62.1;55;7.45;7.41;4.62;5766;Bajo
2.23;Premium;J;SI1;;59;8.36;8.33;5.21;14258;Premiun
0.26;Very Good;H;VVS1;62.5;58;4.08;4.11;2.56;468;Minimo
0.55;Good;H;SI1;;55;5.23;5.18;3.31;1263;Minimo
0.33;Ideal;D;VS2;62.1;55;4.46;4.43;2.76;1002;Minimo
0.3;Premium;E;SI1;59.8;60;4.31;4.35;2.59;526;Minimo
0.52;Premium;D;VS2;62.8;58;5.14;5.11;3.22;1842;Bajo
0.38;Ideal;J;VS2;62.1;54;4.65;4.69;2.9;532;Minimo
1.23;Ideal;J;SI1;62.2;57;6.89;6.81;4.26;5407;Bajo
0.67;Good;J;VS1;64.2;55.6;5.54;5.57;3.57;1581;Bajo
1.05;Fair;I;I1;61.8;66;6.48;6.37;3.97;2396;Bajo
1.51;Very Good;F;SI1;59.4;57;7.48;7.57;4.47;10838;Alto
0.3;Premium;H;VS1;62.4;60;4.29;4.23;2.66;630;Minimo
1.01;Good;F;VS2;60.1;60;6.46;6.51;3.9;5902;Bajo
0.61;Very Good;H;VVS2;60.5;57;5.52;5.54;3.35;1970;Bajo
0.32;Ideal;I;VS2;61.5;56;4.41;4.4;2.71;576;Minimo
0.54;Good;E;VVS2;57.5;61;5.47;5.39;3.12;2391;Bajo
2.77;Premium;H;I1;62.6;62;8.93;8.83;5.56;10424;Alto
1.54;Premium;G;SI2;61.6;58;7.45;7.3;4.57;7287;Medio
0.32;Premium;E;VS2;61.3;59;4.39;4.35;2.68;900;Minimo
0.51;Premium;E;VS2;59.3;58;5.23;5.2;3.09;1662;Bajo
1.57;Premium;J;VS1;61.3;59;7.47;7.44;4.57;8752;Medio
0.41;Premium;G;SI1;61.5;59;4.78;4.75;2.93;923;Minimo
0.41;Good;E;SI1;63.6;58;4.72;4.74;3.01;705;Minimo
0.5;Ideal;D;SI2;62.4;56;5.1;5.06;3.17;1332;Bajo
0.46;Ideal;E;VVS2;62.6;55;4.92;4.95;3.09;1657;Bajo
1.5;Premium;I;SI2;62.5;61;7.29;7.24;4.54;7526;Medio
0.54;Ideal;H;VVS1;60.4;55;5.27;5.32;3.2;1846;Bajo
1.5;Fair;J;SI2;65.5;60;7.07;7.03;4.62;5268;Bajo
0.36;Ideal;D;SI1;62.7;57;4.59;4.54;2.86;851;Minimo
0.54;Ideal;E;SI1;61.5;57;5.25;5.22;3.22;1637;Bajo
0.7;Premium;F;SI1;59.5;57;5.81;5.79;3.45;2596;Bajo
0.41;Ideal;F;VS2;62.4;58;4.77;4.75;2.97;1085;Minimo
1.03;Ideal;D;SI1;61;57;6.48;6.53;3.97;5804;Bajo
2.09;Ideal;H;SI2;60.6;57;8.3;8.2;5;16703;VIP
1.03;Ideal;F;SI1;;57;6.42;6.46;4.03;5366;Bajo
1.06;Premium;H;SI1;62.8;58;6.49;6.47;4.07;4872;Bajo
0.91;Very Good;G;SI1;63.1;63;6.16;6.11;3.87;3445;Bajo
0.63;Fair;H;SI2;64.7;61;5.33;5.27;3.43;1235;Minimo
0.62;Ideal;D;SI1;62.2;55;5.45;5.51;3.41;1959;Bajo
0.42;Premium;F;VS1;61.8;59;4.83;4.81;2.98;1103;Minimo
1.01;Premium;E;IF;62.6;58;6.44;6.37;4.01;11491;Alto
0.59;Good;F;VS2;64.9;57;5.2;5.25;3.39;1643;Bajo
2;Fair;H;SI1;65.1;56;7.86;7.77;5.09;14430;Premiun
0.9;Good;F;VS2;63.3;57;6.04;6.09;3.84;4253;Bajo
0.31;Very Good;G;VVS2;62.3;59;4.29;4.32;2.68;617;Minimo
0.51;Ideal;E;SI2;58.3;62;5.2;5.19;3.04;1268;Minimo
0.33;Premium;G;VVS2;61;58;4.44;4.48;2.72;752;Minimo
0.77;Premium;F;SI2;61.6;58;5.9;5.88;3.63;2247;Bajo
0.3;Ideal;F;SI1;61.9;56;4.3;4.32;2.67;475;Minimo
0.5;Premium;D;SI2;62.2;58;5.14;5.08;3.18;1279;Minimo
0.9;Premium;D;VS2;63;62;6.13;6.06;3.84;4586;Bajo
0.38;Ideal;I;VVS2;63.4;53;4.61;4.63;2.93;809;Minimo
0.7;Premium;E;VS2;59.5;59;5.82;5.77;3.45;2862;Bajo
0.31;Ideal;G;VVS1;61.9;55;4.3;4.36;2.68;816;Minimo
1.11;Ideal;H;SI2;62.6;56;6.58;6.65;4.14;4719;Bajo
0.4;Very Good;G;VS2;61.9;59;4.67;4.7;2.9;772;Minimo
1.01;Premium;H;VS2;61.3;59;6.44;6.48;3.96;4959;Bajo
0.34;Very Good;D;SI2;60.7;61;4.45;4.51;2.72;507;Minimo
2;Ideal;I;VS1;62.3;56;8.08;8.03;5.02;12907;Alto
0.47;Ideal;H;SI2;62.4;53;4.98;5.02;3.12;782;Minimo
0.54;Ideal;H;VS1;60.9;55;5.28;5.3;3.22;1762;Bajo
0.7;Very Good;E;SI2;62;59;5.61;5.68;3.5;2263;Bajo
0.67;Good;F;VVS2;63.8;61;5.46;5.54;3.52;2398;Bajo
1.01;Ideal;I;VS2;61.3;53;6.52;6.54;4;4887;Bajo
0.41;Ideal;D;SI1;62.7;56;4.73;4.78;2.98;791;Minimo
1.03;Good;F;VS2;63.9;59;6.35;6.38;4.07;6543;Medio
0.5;Ideal;G;VVS2;61.4;57;5.13;5.1;3.14;1935;Bajo
1;Good;G;VVS2;61.6;60;6.34;6.38;3.92;7572;Medio
1.17;Premium;H;SI1;62.5;57;6.79;6.75;4.23;5751;Bajo
0.45;Very Good;D;VS2;62.9;58.4;4.83;4.86;3.04;1311;Bajo
2.32;Ideal;G;SI2;61;58;8.5;8.54;5.2;18532;VIP
0.3;Ideal;E;VS2;62;55;4.35;4.3;2.68;844;Minimo
0.57;Ideal;F;VVS2;62.1;56;5.31;5.35;3.31;2339;Bajo
0.56;Ideal;D;SI2;61.3;56;5.3;5.33;3.26;1243;Minimo
0.3;Ideal;E;VS2;62.8;56;4.32;4.28;2.7;844;Minimo
0.77;Good;F;SI1;64.2;52;5.81;5.77;3.72;2789;Bajo
0.78;Good;G;SI2;57.9;63;6.05;6;3.49;1720;Bajo
0.29;Very Good;H;VVS2;61.7;55;4.27;4.3;2.64;541;Minimo
0.31;Ideal;D;VS2;62.5;56;4.29;4.32;2.69;734;Minimo
1;Premium;E;VS2;62.8;60;6.36;6.32;3.98;6720;Medio
0.3;Ideal;F;VVS1;61.9;56;4.29;4.33;2.67;802;Minimo
0.69;Ideal;G;SI1;62.4;56;5.66;5.69;3.55;2297;Bajo
0.41;Ideal;D;VVS1;62.3;57;4.77;4.73;2.96;1582;Bajo
0.7;Very Good;F;SI2;63.2;59;5.66;5.61;3.56;1792;Bajo
1.58;Premium;G;VS2;;58;7.68;7.64;4.46;11786;Alto
1.1;Premium;G;VS2;60.2;58;6.71;6.75;4.05;6534;Medio
0.74;Ideal;F;VVS2;61.7;57;5.79;5.84;3.59;4157;Bajo
0.77;Premium;H;VS1;61.3;60;5.9;5.88;3.61;2789;Bajo
0.3;Premium;H;SI1;;58;4.28;4.24;2.68;554;Minimo
1;Good;F;VS2;63.2;59;6.3;6.35;4;6183;Medio
1.3;Premium;J;SI1;61.5;58;7.02;6.97;4.3;5176;Bajo
0.32;Ideal;H;VS2;62.1;56;4.37;4.42;2.73;505;Minimo
1.74;Very Good;D;SI1;61.9;58;7.74;7.79;4.81;16286;VIP
1.7;Premium;D;SI1;61.9;59;7.64;7.61;4.72;15238;Premiun
0.34;Ideal;E;VS1;60.8;57;4.53;4.49;2.74;1033;Minimo
0.43;Ideal;I;VS1;61.8;55;4.88;4.9;3.02;1218;Minimo
0.3;Ideal;E;VVS1;61.6;56;4.3;4.34;2.66;838;Minimo
1.23;Premium;G;SI1;62.4;55;6.89;6.83;4.28;6750;Medio
1.12;Ideal;G;SI2;62.2;55;6.68;6.64;4.14;4955;Bajo
1.02;Very Good;D;SI2;58.8;58;6.62;6.68;3.91;4964;Bajo
0.5;Good;H;VVS1;63.3;57;5.02;5.06;3.19;1596;Bajo
1;Good;F;VS2;61.1;61;6.38;6.45;3.92;6841;Medio
0.9;Very Good;F;SI2;62.8;54;6.05;6.15;3.83;3217;Bajo
0.9;Ideal;F;SI1;60.7;57;6.21;6.25;3.78;4401;Bajo
0.34;Ideal;E;VVS1;62.2;56;4.44;4.46;2.77;1014;Minimo
0.31;Ideal;F;VVS1;61;57;4.38;4.39;2.67;884;Minimo
0.39;Very Good;G;SI2;62.7;54;4.64;4.71;2.93;581;Minimo
0.55;Premium;E;SI1;61;61;5.3;5.25;3.22;1668;Bajo
0.32;Ideal;D;VS2;62.6;55;4.39;4.37;2.74;972;Minimo
0.3;Very Good;E;SI2;61.7;61;4.28;4.31;2.65;421;Minimo
0.9;Ideal;H;SI1;62.5;56;6.14;6.18;3.85;4492;Bajo
1.51;Premium;D;SI2;63;62;7.28;7.23;4.57;9894;Alto
0.4;Good;G;VVS2;61.4;64;4.65;4.7;2.87;974;Minimo
2.16;Very Good;H;SI2;62.3;60;8.19;8.31;5.14;14824;Premiun
0.4;Very Good;D;VS1;62.9;56;4.67;4.71;2.95;1123;Minimo
0.52;Ideal;E;VS2;59.5;57;5.27;5.25;3.13;1815;Bajo
1.02;Premium;G;SI1;60.8;58;6.5;6.46;3.94;4718;Bajo
1.5;Premium;I;VS2;62.5;59;7.3;7.26;4.55;9055;Alto
0.24;Very Good;F;VS1;62.5;58;3.95;3.96;2.47;419;Minimo
0.6;Ideal;F;VS2;61.9;57;5.39;5.43;3.35;1970;Bajo
1.5;Very Good;H;SI1;62;63;7.24;7.19;4.47;7459;Medio
0.3;Good;E;SI1;63.6;57;4.22;4.24;2.69;526;Minimo
0.41;Good;E;VVS1;64.1;55;4.71;4.68;3.01;1298;Minimo
0.33;Premium;I;VS1;59.5;60;4.54;4.5;2.69;668;Minimo
1.02;Very Good;H;SI1;61;59;6.48;6.53;3.97;5455;Bajo
0.38;Ideal;E;VS1;61.9;56;4.63;4.67;2.88;1000;Minimo
0.23;Very Good;G;VVS2;62.9;55;3.88;3.92;2.45;431;Minimo
1.31;Ideal;I;VS2;62.4;57;6.93;6.97;4.34;6338;Medio
0.3;Good;G;VVS2;63.8;56;4.29;4.27;2.73;878;Minimo
1.7;Good;J;VS2;63.6;59;7.53;7.48;4.77;8134;Medio
1.03;Premium;G;VVS2;60.4;59;6.58;6.56;3.97;7729;Medio
0.46;Good;F;VS1;61.6;62.2;4.84;5;3.04;1168;Minimo
0.59;Ideal;E;VS2;62.1;55;5.4;5.42;3.36;1875;Bajo
0.61;Very Good;D;SI1;62.4;59;5.42;5.45;3.39;1622;Bajo
0.38;Ideal;G;SI1;62.1;54;4.67;4.64;2.9;969;Minimo
1;Premium;E;VS2;60;60;6.43;6.43;3.89;6720;Medio
1.03;Ideal;G;SI1;61.6;57;6.53;6.46;4;4900;Bajo
0.78;Fair;H;VS2;54.7;67;6.25;6.15;3.4;2691;Bajo
0.35;Ideal;E;VVS1;61.7;54;4.56;4.58;2.82;1000;Minimo
0.31;Ideal;H;VVS1;61.6;55;4.38;4.35;2.69;907;Minimo
0.5;Very Good;F;VS2;62.6;54;5.1;5.13;3.2;1404;Bajo
0.9;Good;F;VS2;63.8;55;6.09;6.13;3.9;4309;Bajo
0.79;Premium;E;VS2;59.4;60;6.08;6.05;3.6;3230;Bajo
0.72;Good;H;VS2;61.8;61;5.68;5.75;3.53;2497;Bajo
0.7;Ideal;G;SI1;62.5;56;5.67;5.69;3.55;2478;Bajo
0.4;Good;F;VS2;62.2;61;4.71;4.74;2.94;784;Minimo
1.02;Premium;F;VS2;61.3;58;6.54;6.42;3.97;6597;Medio
0.3;Good;G;VVS1;63.3;55;4.26;4.3;2.71;789;Minimo
0.44;Ideal;I;VVS2;61.1;57;4.91;4.95;3.01;957;Minimo
1.83;Very Good;E;SI2;62;57;7.81;7.89;4.87;12379;Alto
2.22;Ideal;G;SI2;60.9;57;8.47;8.42;5.14;15584;Premiun
0.36;Premium;F;SI1;60.3;58;4.65;4.6;2.79;770;Minimo
1.7;Very Good;I;VS2;58.5;59;7.81;7.89;4.59;11190;Alto
1.07;Premium;I;VS2;60.7;58;6.62;6.66;4.03;4491;Bajo
0.46;Ideal;I;VVS2;62.7;56;4.9;4.93;3.08;1040;Minimo
0.71;Good;H;VVS2;63;59;5.64;5.67;3.56;2517;Bajo
0.31;Good;F;SI1;63.5;56;4.3;4.33;2.74;516;Minimo
0.46;Ideal;E;SI1;62;54;4.97;4.99;3.09;905;Minimo
1.7;Premium;H;VS2;62.4;57;7.6;7.54;4.72;13298;Premiun
0.33;Premium;G;VS2;62.1;56;4.44;4.41;2.75;743;Minimo
0.41;Ideal;E;VVS2;60.9;56;4.75;4.81;2.91;1187;Minimo
0.5;Premium;E;VS2;62.6;58;5.07;5.12;3.19;1559;Bajo
1.52;Premium;D;SI2;59.1;58;7.48;7.45;4.41;9959;Alto
0.32;Ideal;F;VVS1;61.8;56;4.45;4.42;2.74;990;Minimo
0.73;Very Good;D;VS1;62.2;56;5.72;5.75;3.57;3856;Bajo
0.3;Premium;D;SI1;62.3;58;4.28;4.32;2.68;552;Minimo
1.26;Ideal;G;SI1;61.9;56;6.92;6.98;4.3;7711;Medio
0.31;Premium;H;VS1;59.9;59;4.38;4.4;2.63;544;Minimo
1.2;Ideal;F;VS1;62.1;58;6.78;6.84;4.23;10367;Alto
1.01;Ideal;F;VS2;61.2;58;6.45;6.43;3.94;7409;Medio
1.34;Very Good;H;SI1;61.6;59;7.04;7.09;4.35;7655;Medio
1.22;Ideal;H;SI2;61.7;56;6.87;6.93;4.26;5502;Bajo
0.91;Ideal;J;VS2;62.1;56;6.18;6.22;3.85;3256;Bajo
1;Fair;G;VS1;63.1;68;6.32;6.17;3.94;4892;Bajo
0.38;Ideal;F;SI1;61.7;56;4.68;4.72;2.9;766;Minimo
1.35;Premium;H;VS1;62.3;58;7.1;7.05;4.41;8543;Medio
2.06;Good;H;I1;64.3;58;8.03;7.99;5.15;6091;Medio
0.73;Ideal;E;VS1;62.5;57;5.73;5.76;3.59;3235;Bajo
1.06;Very Good;I;SI2;61.4;56.5;6.55;6.58;4.03;4465;Bajo
0.54;Ideal;D;SI1;60.7;56;5.27;5.3;3.21;1662;Bajo
1.39;Premium;F;SI1;62.4;59;7.14;7.09;4.44;8925;Medio
0.41;Good;G;VVS1;61;61;4.77;4.8;2.92;986;Minimo
1.52;Fair;H;SI1;64.6;55;7.24;7.19;4.66;7433;Medio
0.31;Premium;D;VS1;59.6;58;4.41;4.38;2.62;877;Minimo
1.01;Ideal;E;SI2;61.6;58;6.45;6.5;3.99;4668;Bajo
1.03;Good;G;SI1;63.2;58;6.38;6.43;4.05;4679;Bajo
2;Premium;H;SI2;62.8;57;8.05;8.01;5.04;11975;Alto
1.24;Very Good;G;SI2;63.3;57;6.85;6.79;4.32;4462;Bajo
0.6;Ideal;F;VVS2;62.3;56;5.37;5.41;3.36;2652;Bajo
0.36;Ideal;D;VVS2;62;54;4.57;4.63;2.85;1033;Minimo
1;Fair;F;SI2;65.7;61;6.13;6.11;4.02;3443;Bajo
1.24;Ideal;H;SI2;62;56;6.87;6.9;4.27;5797;Bajo
0.3;Premium;E;SI1;60;60;4.36;4.38;2.62;526;Minimo
1.5;Ideal;F;VS2;61.9;56.4;7.31;7.33;4.53;15444;Premiun
2.3;Ideal;J;SI1;62.3;57;8.41;8.34;5.22;12316;Alto
1.01;Ideal;D;VS2;60.6;57;6.54;6.46;3.94;7602;Medio
0.32;Ideal;I;VS1;62.4;54;4.39;4.36;2.73;648;Minimo
1.12;Ideal;F;VS2;62.6;56;6.59;6.63;4.14;8074;Medio
0.53;Ideal;G;VVS1;61.2;55;5.19;5.23;3.19;2005;Bajo
1.03;Ideal;G;SI1;61.6;55;6.48;6.52;4;5518;Bajo
1.07;Premium;F;SI1;61.7;56;6.66;6.5;4.06;5813;Bajo
0.34;Ideal;H;IF;61.9;55;4.5;4.55;2.8;913;Minimo
0.53;Very Good;J;SI1;61.5;56;5.18;5.21;3.19;1044;Minimo
0.72;Ideal;F;SI2;62;57;5.68;5.64;3.51;1743;Bajo
0.37;Premium;G;VVS2;62.2;58;4.6;4.56;2.85;1010;Minimo
0.87;Premium;D;SI1;62.1;58;6.08;6.13;3.79;4189;Bajo
0.41;Ideal;E;VVS1;60.7;57;4.85;4.8;2.93;1431;Bajo
0.24;Very Good;F;VS1;63;59;3.93;3.97;2.49;419;Minimo
0.29;Premium;G;VS1;62.1;59;4.25;4.22;2.63;547;Minimo
0.4;Ideal;E;VVS1;61.5;56;4.78;4.75;2.93;1397;Bajo
1;Very Good;D;SI2;62.8;58;6.29;6.39;3.98;4595;Bajo
0.59;Very Good;E;SI1;62.9;58;5.31;5.34;3.35;1652;Bajo
2.65;Premium;G;SI2;62;61;8.82;8.75;5.45;16314;VIP
0.32;Ideal;E;VS2;62;55;4.41;4.37;2.72;804;Minimo
1;Ideal;G;VS1;62.5;54;6.4;6.44;4.01;7648;Medio
0.81;Good;I;VS2;63.8;58;5.89;5.84;3.74;2641;Bajo
0.4;Very Good;G;SI1;61.6;59;4.66;4.72;2.89;702;Minimo
0.83;Premium;F;SI2;61.4;59;6.08;6.04;3.72;2840;Bajo
1.36;Very Good;H;VS1;59.9;58;7.16;7.2;4.3;9178;Alto
0.26;Premium;E;VVS1;62.9;58;4.08;4.06;2.56;769;Minimo
0.3;Very Good;F;SI1;57.9;61;4.39;4.49;2.57;489;Minimo
2.03;Very Good;I;SI2;62.8;59;8.04;8.08;5.06;13063;Premiun
1.58;Ideal;I;VVS1;61.9;55;7.47;7.51;4.64;11435;Alto
0.7;Premium;E;VVS2;60.6;60;5.74;5.72;3.47;3377;Bajo
0.31;Ideal;G;SI1;62.2;55;4.36;4.35;2.71;593;Minimo
0.79;Ideal;H;VVS1;62;56;5.92;5.96;3.68;3675;Bajo
0.7;Fair;F;I1;66.2;59;5.59;5.4;3.65;1087;Minimo
1.51;Premium;I;SI1;58.6;62;7.51;7.45;4.38;8574;Medio
1.08;Good;G;VS2;58.9;58;6.69;6.75;3.96;6708;Medio
0.33;Ideal;E;VVS1;61.9;54;4.45;4.47;2.76;945;Minimo
0.74;Very Good;I;VS1;62.3;60;5.78;5.8;3.61;2491;Bajo
0.5;Ideal;H;SI2;62.9;57;5.04;5.01;3.16;958;Minimo
1.5;Very Good;J;VS2;60.5;63;7.32;7.27;4.41;7308;Medio
0.5;Premium;D;SI2;58.5;60;5.21;5.19;3.04;1178;Minimo
2.01;Ideal;H;SI1;62.8;54;8.03;8.08;5.05;18186;VIP
1.5;Very Good;F;VS2;63.9;57;7.16;7.23;4.6;13037;Premiun
0.3;Good;H;VVS2;63.1;60;4.24;4.28;2.69;605;Minimo
0.3;Ideal;G;VVS2;60.6;57;4.33;4.35;2.63;684;Minimo
1.06;Ideal;G;SI1;62;57;6.54;6.5;4.04;5342;Bajo
1.31;Ideal;G;VS1;61.6;57;6.99;7.04;4.32;12008;Alto
0.54;Ideal;F;VS2;64.2;54;5.19;5.12;3.31;1837;Bajo
0.28;Very Good;E;VVS2;60;56;4.26;4.28;2.56;642;Minimo
2;Good;I;SI2;64.2;52;7.91;7.88;5.07;11400;Alto
0.36;Premium;D;SI1;61.4;58;4.59;4.56;2.81;851;Minimo
0.4;Ideal;F;SI2;62;57;4.7;4.72;2.92;597;Minimo
0.35;Premium;F;VS2;61.4;59;4.53;4.56;2.79;706;Minimo
0.63;Ideal;F;VVS2;61.9;57;5.47;5.51;3.4;2835;Bajo
0.32;Ideal;E;VS2;62;57;4.41;4.39;2.73;900;Minimo
0.9;Very Good;H;VS1;61.8;56;6.16;6.18;3.81;4136;Bajo
1.51;Premium;D;SI1;62.5;60;7.27;7.23;4.54;11760;Alto
1.06;Ideal;E;SI2;62.2;55;6.51;6.54;4.06;5223;Bajo
0.37;Ideal;J;SI1;61.4;57;4.62;4.66;2.85;469;Minimo
0.26;Very Good;E;VVS2;59.9;58;4.15;4.23;2.51;554;Minimo
1;Good;G;VS1;62.4;62;6.33;6.37;3.96;6177;Medio
1.09;Ideal;F;VS2;60.9;54;6.73;6.66;4.08;7520;Medio
0.57;Very Good;D;VS2;60.4;57;5.35;5.38;3.24;1651;Bajo
0.37;Ideal;F;VS2;60.6;56;4.63;4.64;2.81;746;Minimo
0.91;Very Good;F;SI1;62.3;60;6.08;6.15;3.81;4049;Bajo
0.38;Very Good;D;VVS2;60;62;4.7;4.73;2.83;1200;Minimo
1.1;Premium;F;SI1;59.5;59;6.77;6.7;4.01;5821;Bajo
0.3;Ideal;G;VS2;60.8;57;4.33;4.38;2.65;491;Minimo
0.23;Very Good;E;VVS1;61.3;60;3.95;4.01;2.44;530;Minimo
1.24;Premium;F;SI1;62.6;59;6.86;6.76;4.26;6125;Medio
0.3;Very Good;G;VS2;62.2;60;4.24;4.25;2.64;526;Minimo
0.52;Ideal;F;VVS2;61.5;55;5.17;5.21;3.19;2092;Bajo
1.1;Very Good;H;SI1;62.9;57;6.54;6.59;4.13;5521;Bajo
0.3;Ideal;E;VS2;61.5;55;4.4;4.32;2.68;844;Minimo
0.31;Ideal;E;VVS2;61.6;55;4.37;4.4;2.7;791;Minimo
0.24;Ideal;F;VS2;62.2;57;3.96;4.01;2.48;419;Minimo
0.73;Fair;I;VVS2;64.4;59;5.65;5.62;3.63;2351;Bajo
0.35;Ideal;F;VS2;61.5;57;4.56;4.52;2.79;906;Minimo
1.2;Very Good;G;VS1;60.2;60;6.91;7;4.19;8442;Medio
1.01;Very Good;D;IF;61.6;56;6.43;6.46;3.97;16087;VIP
1.42;Very Good;I;VS1;;65;7.28;7.2;4.35;6894;Medio
1.01;Very Good;E;SI1;60;60;6.45;6.49;3.88;5556;Bajo
0.23;Ideal;F;VS2;61.8;55;3.93;3.96;2.43;493;Minimo
0.9;Very Good;F;SI1;62.7;59;6.12;6.16;3.85;4119;Bajo
1.01;Ideal;I;SI2;62.8;57;6.36;6.41;4.01;4244;Bajo
1.2;Very Good;G;VVS1;60.9;59;6.87;6.79;4.16;9139;Alto
0.68;Very Good;E;SI1;58.2;60;5.75;5.79;3.36;1918;Bajo
0.27;Good;E;VS1;57.5;63;4.24;4.28;2.45;377;Minimo
1.62;Good;J;SI2;64.2;62;7.41;7.33;4.73;6223;Medio
1.07;Premium;H;SI1;62.9;61;6.47;6.41;4.05;4440;Bajo
2;Premium;H;SI2;60.7;60;8.11;8.07;4.91;15451;Premiun
0.37;Premium;E;VS2;61;59;4.65;4.6;2.82;888;Minimo
0.32;Premium;E;VVS2;61.1;58;4.42;4.45;2.71;842;Minimo
0.34;Premium;D;SI1;62.7;59;4.42;4.45;2.78;626;Minimo
0.55;Ideal;F;VS2;61.4;57;5.26;5.3;3.24;2026;Bajo
0.41;Very Good;F;IF;63.3;56;4.69;4.75;2.99;1255;Minimo
0.24;Ideal;E;VVS1;60.9;56;4.01;4.04;2.45;752;Minimo
1.16;Ideal;E;SI1;61.9;57;6.72;6.76;4.17;6896;Medio
0.71;Ideal;H;VS1;61.9;56;5.7;5.74;3.54;2909;Bajo
0.91;Ideal;I;VS2;61.6;56;6.17;6.25;3.83;4199;Bajo
0.91;Very Good;J;VS2;61.6;59;6.13;6.25;3.81;3290;Bajo
0.74;Premium;G;SI2;62.7;60;5.78;5.73;3.61;2238;Bajo
1.13;Ideal;H;I1;61.1;56;6.71;6.77;4.12;3603;Bajo
1.52;Ideal;I;VS2;62.1;59;7.3;7.35;4.55;9465;Alto
1;Good;H;SI2;59;61;6.42;6.46;3.8;3991;Bajo
0.7;Ideal;I;VS2;61.2;55;5.75;5.77;3.53;2249;Bajo
0.31;Ideal;F;VVS1;60.7;56;4.4;4.37;2.66;878;Minimo
0.5;Good;E;SI1;64.6;54;4.95;5.05;3.23;1232;Minimo
2.03;Very Good;J;SI2;60.9;60;8.1;8.21;4.97;11968;Alto
0.3;Ideal;H;VS1;61.6;57;4.33;4.3;2.66;675;Minimo
0.73;Good;E;VS1;60.8;61;5.77;5.8;3.52;3471;Bajo
0.6;Very Good;F;SI1;62.1;57.4;5.39;5.45;3.35;1715;Bajo
2;Premium;F;SI2;;62;8.19;7.84;4.86;11198;Alto
1.05;Ideal;F;VVS2;61.5;57;6.51;6.57;4.02;9138;Alto
1.01;Ideal;G;IF;62.2;61;6.34;6.4;3.96;8957;Medio
0.32;Ideal;I;VS1;62.3;56;4.37;4.4;2.73;471;Minimo
1.5;Premium;E;VS2;59.5;58;7.53;7.46;4.46;14386;Premiun
0.9;Ideal;F;VS2;62.6;56;6.16;6.23;3.88;4801;Bajo
1.08;Premium;I;VS1;62.5;57;6.54;6.51;4.08;4877;Bajo
0.9;Premium;E;SI1;60.7;61;6.19;6.17;3.75;3625;Bajo
0.77;Very Good;J;SI2;61.3;58;5.84;5.91;3.6;2001;Bajo
2.02;Premium;J;SI2;62.1;60;7.98;8.09;4.99;11165;Alto
1.21;Premium;G;SI2;60.3;58;6.96;6.9;4.18;5529;Bajo
1;Good;H;SI2;63.9;55;6.25;6.33;4.02;3878;Bajo
0.64;Very Good;H;SI2;64.2;58;5.43;5.48;3.5;1292;Minimo
